Log file: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_moons_ablation_20260402_215247.log

===== Moons Width Ablation: h = 2 =====
Epoch 280, Train Loss: 0.2858, Train Acc: 0.8708, Val Loss: 0.2075, Val Acc: 0.8875
Epoch 290, Train Loss: 0.2831, Train Acc: 0.8792, Val Loss: 0.2056, Val Acc: 0.8875
Epoch 300, Train Loss: 0.2795, Train Acc: 0.8792, Val Loss: 0.2031, Val Acc: 0.8875
Epoch 310, Train Loss: 0.2752, Train Acc: 0.8792, Val Loss: 0.2007, Val Acc: 0.9000
Epoch 320, Train Loss: 0.2689, Train Acc: 0.8792, Val Loss: 0.1957, Val Acc: 0.9000
Epoch 330, Train Loss: 0.2623, Train Acc: 0.8792, Val Loss: 0.1918, Val Acc: 0.9000
Epoch 340, Train Loss: 0.2537, Train Acc: 0.8792, Val Loss: 0.1854, Val Acc: 0.9000
Epoch 350, Train Loss: 0.2444, Train Acc: 0.8875, Val Loss: 0.1785, Val Acc: 0.9000
Epoch 360, Train Loss: 0.2344, Train Acc: 0.8917, Val Loss: 0.1717, Val Acc: 0.9125
Epoch 370, Train Loss: 0.2242, Train Acc: 0.8917, Val Loss: 0.1646, Val Acc: 0.9250
Epoch 380, Train Loss: 0.2140, Train Acc: 0.8917, Val Loss: 0.1571, Val Acc: 0.9250
Epoch 390, Train Loss: 0.2040, Train Acc: 0.8917, Val Loss: 0.1500, Val Acc: 0.9250
Epoch 400, Train Loss: 0.1945, Train Acc: 0.8958, Val Loss: 0.1433, Val Acc: 0.9375
Epoch 410, Train Loss: 0.1855, Train Acc: 0.9000, Val Loss: 0.1368, Val Acc: 0.9500
Epoch 420, Train Loss: 0.1773, Train Acc: 0.9125, Val Loss: 0.1313, Val Acc: 0.9500
Epoch 430, Train Loss: 0.1695, Train Acc: 0.9208, Val Loss: 0.1254, Val Acc: 0.9625
Epoch 440, Train Loss: 0.1625, Train Acc: 0.9250, Val Loss: 0.1203, Val Acc: 0.9750
Epoch 450, Train Loss: 0.1561, Train Acc: 0.9292, Val Loss: 0.1155, Val Acc: 0.9750
Epoch 460, Train Loss: 0.1502, Train Acc: 0.9333, Val Loss: 0.1117, Val Acc: 0.9750
Epoch 470, Train Loss: 0.1449, Train Acc: 0.9333, Val Loss: 0.1076, Val Acc: 0.9750
Epoch 480, Train Loss: 0.1400, Train Acc: 0.9375, Val Loss: 0.1046, Val Acc: 0.9875
Epoch 490, Train Loss: 0.1356, Train Acc: 0.9417, Val Loss: 0.1018, Val Acc: 0.9875
Train - Loss: 0.1319, Acc: 0.9458
Val   - Loss: 0.0986, Acc: 0.9875
Test  - Loss: 0.1204, Acc: 0.9750

===== Generating Decision Boundary Plots =====
Saved: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\figures\decision_boundary_moons_ablation_h_2.png
Saved: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\figures\decision_boundary_moons_ablation_h_8.png
Saved: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\figures\decision_boundary_moons_ablation_h_32.png

===== Generating Comparison Plot =====
Saved: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\figures\moons_ablation_comparison.png

===== Summary =====
h=2: Test Loss=0.2740, Test Acc=0.8500
h=8: Test Loss=0.1173, Test Acc=0.9750
h=32: Test Loss=0.1204, Test Acc=0.9750

Finished successfully.
